StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,StroopTime_Congrue_First Click,StroopTime_Congrue_Last Click,StroopTime_Congrue_Page Submit,StroopTime_Congrue_Click Count,StroopTime_Incongru_First Click,StroopTime_Incongru_Last Click,StroopTime_Incongru_Page Submit,StroopTime_Incongru_Click Count,Zoom_Total_Mins,Self_View,Self_View_Mins,Self_Distraction,Preparedness,Zoom_Function,Fatigue,Lack_of_Initiative,Mental_Fatigue,ConcentrateDifficult,Memory_Problems,Slowness_of_Thinking,Sensitivity_to_Stres,Irritability,Sleep_Hours,SSO_1,SSO_2,SSO_3,SSO_4,SSO_5,interact_comfort,interact_anxious,interact_happy,interact_unhappy,interact_friendly,interact_warm,interact_easygoing,interac_hostile,interact_sincere,interact_authentic,interact_apprehensiv,interact_cooperative,interact_aggresive,How_Today,SES_Satisfied,SES_Bad,SES_Good,SES_Competent,SES_Proud,SES_Useless,SES_Worth,SES_Respect,SES_Failure,SES_Positive,day,partID
5/10/21 18:02,5/10/21 18:05,0,144.121.36.209,100,194,1,5/10/21 18:05,R_3nc6YZZMpNcErqx,,,,42.31820679,-72.64189911,email,EN,2.295,2.295,12.988,1,4.96,4.96,21.799,1,4.5,4,120,5,5,2,3,3,3,1,1,1,1,1,10,1,1,1,4,4,4,2,2,2,3,2,1,1,2,2,3,2,1,4,2,3,2,2,3,3,2,4,4,2,1,39
5/10/21 18:03,5/10/21 18:07,0,144.121.36.211,100,277,1,5/10/21 18:07,R_1DOuv7BfWquhTI6,,,,42.31820679,-72.64189911,email,EN,0,0,15.992,0,0,0,24.164,0,45,5,45,2,5,3,5,5,5,6,6,6,1,1,12,5,4,6,7,7,4,2,1,7,1,1,1,5,4,4,4,1,1,2,3,3,2,2,2,1,2,2,3,2,1,29
5/10/21 18:03,5/10/21 18:11,0,144.121.36.209,100,476,1,5/10/21 18:11,R_bBm6GnxIrnynBaF,,,,42.31820679,-72.64189911,email,EN,0,0,18.616,0,0,0,23.168,0,180,1,,5,4,2,2,5,4,4,3,3,6,2,6,4,2,4,3,2,6,3,4,2,5,4,5,1,3,4,4,5,1,5,2,2,3,3,2,2,3,2,2,3,1,28
5/10/21 18:02,5/10/21 18:14,0,144.121.36.210,100,720,1,5/10/21 18:14,R_2t0gkeFQDITDIyt,,,,42.31820679,-72.64189911,email,EN,0,0,15.028,0,0,0,16.135,0,300,3,180,4,3,"2,3",3,2,2,3,1,2,3,5,7,4,3,5,6,6,4,5,5,3,4,3,1,1,5,5,2,6,1,5,3,2,3,2,1,1,2,2,3,3,1,19
5/10/21 18:12,5/10/21 18:15,0,108.195.124.71,100,227,1,5/10/21 18:15,R_1irmgQHNh5EMWFf,,,,38.59599304,-121.2126999,email,EN,0,0,11.602,0,0,0,18.773,0,90,5,0,4,4,2,3,5,2,3,6,2,1,1,7.5,1,1,1,4,4,4,2,3,4,2,2,4,2,3,2,5,4,2,4,2,2,2,1,3,2,1,4,4,1,1,13
5/10/21 18:12,5/10/21 18:17,0,24.3.161.210,100,297,1,5/10/21 18:17,R_3pmYvYm28IMgBl1,,,,40.56619263,-79.70780182,email,EN,0,0,20.863,0,0,0,17.644,0,150,3,70,3,4,2,4,2,3,1,2,1,4,1,7,3,4,3,4,4,4,6,4,5,4,3,3,3,5,4,4,5,3,4,2,3,2,2,3,3,2,3,3,2,1,1
5/10/21 18:07,5/10/21 18:19,0,144.121.36.210,100,751,1,5/10/21 18:19,R_30od2VrHfxK7wNp,,,,42.31820679,-72.64189911,email,EN,0,0,16.263,0,0,0,24.094,0,330,5,330,1,4,2,6,6,5,6,3,6,1,1,7.5,6,6,6,2,3,3,7,4,6,4,4,2,4,3,3,5,4,5,3,3,2,3,4,2,2,2,2,3,3,1,25
5/10/21 18:10,5/10/21 18:21,0,73.186.114.149,100,662,1,5/10/21 18:21,R_vqMQQoc6QbVR9Ad,,,,43.03610229,-72.50779724,email,EN,2.404,2.404,21.651,1,6.257,6.257,51.087,1,260,3,130,3,4,2,7,5,6,6,7,5,4,1,7,5,6,4,5,5,4,5,1,5,7,6,4,1,4,5,2,5,1,5,2,3,3,2,2,3,3,2,4,2,1,2
5/10/21 18:22,5/10/21 18:28,0,144.121.36.211,100,376,1,5/10/21 18:28,R_1IaZGYS1qgvEgf8,,,,42.31820679,-72.64189911,email,EN,0,0,11.555,0,0,0,23.044,0,170,5,100,3,4,2,7,6,6,7,6,5,6,5,7,4,5,4,3,4,5,6,4,3,5,5,3,2,4,3,5,5,1,2,3,1,3,4,1,2,3,2,2,3,1,31
5/10/21 18:25,5/10/21 18:32,0,144.121.36.211,100,417,1,5/10/21 18:32,R_yjCNsTFqBtDQ6J3,,,,42.31820679,-72.64189911,email,EN,0,0,16.742,0,0,0,22.376,0,165,5,165,4,4,"2,3",3,3,2,2,2,3,3,1,6.75,1,1,1,6,6,3,3,5,4,5,3,5,1,5,5,3,6,1,4,2,3,2,2,4,4,2,4,4,2,1,30
