partID,ResponseId.x,tso_mean,SPASscore,OBCS_a_sur,ResponseId.y,Zoom_Total_Mins,Self_View,Self_View_Mins,Self_Distraction,ssodaily,authenticdaily,interactpos,interactneg,day,sso
1,R_1HixWzpHiQW82Ga,1,3.5,6,R_tSqlQ5nxJNgJMit,0,5,0,5,1,1,1,1,2,0
1,R_1HixWzpHiQW82Ga,1,3.5,6,R_3pmYvYm28IMgBl1,150,3,70,3,3.3333333333333335,4,4,4.2,1,1
1,R_1HixWzpHiQW82Ga,1,3.5,6,R_3kaJPFxVbULnF3v,75,1,0,5,4,3,4.5,2,5,1
1,R_1HixWzpHiQW82Ga,1,3.5,6,R_1jeKzTQ8mcvT5wH,75,1,0,5,2,4,3.75,2,3,1
1,R_1HixWzpHiQW82Ga,1,3.5,6,R_1q21rTrOHmRvcNY,150,3,70,2,4.333333333333333,4.5,5.5,2,4,1
2,R_tGqNPeRDlIQU2zL,1,3.6666666666666665,3,R_3qZERvmdFmH8d3z,190,4,80,4,2,4.5,3.5,1.8,4,1
2,R_tGqNPeRDlIQU2zL,1,3.6666666666666665,3,R_vqMQQoc6QbVR9Ad,260,3,130,3,5,5,4.5,2.8,1,1
2,R_tGqNPeRDlIQU2zL,1,3.6666666666666665,3,R_2e2wI1H6p1IGbCC,85,2,15,4,1,6.5,4.875,1.6,3,0
2,R_tGqNPeRDlIQU2zL,1,3.6666666666666665,3,R_cMkUZzF53A3mXCh,100,2,10,4,2.3333333333333335,3.5,2.375,2.6,5,1
2,R_tGqNPeRDlIQU2zL,1,3.6666666666666665,3,R_3h3ZCULTy6t5KUo,480,3,240,1,3,5.5,4.625,2.6,2,1
3,R_1H0HLBYCYaUYsvD,-2.1999999999999993,3.6666666666666665,4.625,R_2yskzSCIW3Cbit3,150,5,130,4,1,7,5,1.2,1,0
3,R_1H0HLBYCYaUYsvD,-2.1999999999999993,3.6666666666666665,4.625,R_1ptD5uxEXxIVC8E,90,5,30,4,1,4.5,3.25,2,5,0
3,R_1H0HLBYCYaUYsvD,-2.1999999999999993,3.6666666666666665,4.625,R_ONbUsjcRrXooMBr,160,5,30,5,1,6,4.625,1.4,4,0
3,R_1H0HLBYCYaUYsvD,-2.1999999999999993,3.6666666666666665,4.625,R_2Ep0or0lUkH5fNh,210,5,160,3,1,6,3.625,2.4,3,0
3,R_1H0HLBYCYaUYsvD,-2.1999999999999993,3.6666666666666665,4.625,R_1l0ssWYGwEbyR2S,90,5,70,5,1,7,4.75,1.6,2,0
4,R_bPphCf7iaUOy1sl,1,4.25,5.625,R_1l4qsSYe48tFnIv,150,5,100,4,1,6.5,5,2.2,4,0
4,R_bPphCf7iaUOy1sl,1,4.25,5.625,R_2wzw4VOI1IYJJ1J,175,5,125,4,1,5.5,3.375,1.4,3,0
4,R_bPphCf7iaUOy1sl,1,4.25,5.625,R_2P0dQHFGitfHCtW,40,5,40,2,1,7,6.625,1.2,5,0
4,R_bPphCf7iaUOy1sl,1,4.25,5.625,R_3eenbJNFLov56Kc,130,5,40,4,2.6666666666666665,3,2.375,3.2,1,1
4,R_bPphCf7iaUOy1sl,1,4.25,5.625,R_eCHUTmwxtCbVgSR,200,5,95,4,1,4.5,3.375,2.4,2,0
5,R_1MNaV5XorGVckuc,-0.1999999999999993,4.333333333333333,5.625,R_1pzgme5AlzW7zW4,70,5,70,2,1,5,5.375,1.2,2,0
5,R_1MNaV5XorGVckuc,-0.1999999999999993,4.333333333333333,5.625,R_2uR7rvvVkLB6L31,0,5,0,5,1,1,1,1,5,0
5,R_1MNaV5XorGVckuc,-0.1999999999999993,4.333333333333333,5.625,R_31FocrvxSyktkYl,70,5,70,2,1,5.5,4.875,1.6,4,0
5,R_1MNaV5XorGVckuc,-0.1999999999999993,4.333333333333333,5.625,R_2V7UUQCBj6MDJ5d,100,5,100,2,1,6,5.875,1.4,3,0
5,R_1MNaV5XorGVckuc,-0.1999999999999993,4.333333333333333,5.625,R_3QXX6IdisobcFGU,90,5,90,2,1.6666666666666667,5,5.625,1.4,1,1
6,R_1DqUY1ro60aRKna,-0.1999999999999993,3.9166666666666665,6.125,R_3nSDH4n0FFfhGyK,3.5,4,3,1,7,2,1.625,2.6,1,1
6,R_1DqUY1ro60aRKna,-0.1999999999999993,3.9166666666666665,6.125,R_2e4l77TJ8HbvLx0,3.5,2,1,2,7,2,2.75,3,4,1
6,R_1DqUY1ro60aRKna,-0.1999999999999993,3.9166666666666665,6.125,R_1pzEpd8y3KFXN4C,2,4,1.75,2,5.333333333333333,3.5,3.25,2.2,5,1
6,R_1DqUY1ro60aRKna,-0.1999999999999993,3.9166666666666665,6.125,R_27BfUy6pNYBEA5p,4,4,3,1,7,3,3.75,2.2,3,1
6,R_1DqUY1ro60aRKna,-0.1999999999999993,3.9166666666666665,6.125,R_yqBDOmJRam4gKA1,3.5,5,3.5,2,4,2,3.125,1.8,2,1
7,R_D7cRDUeXH04Ue65,-1,3.5,5.625,R_3rYDTlAYLP4cKpg,150,3,120,5,4.333333333333333,4.5,4,4,4,1
7,R_D7cRDUeXH04Ue65,-1,3.5,5.625,R_2fBRKhiISD4EenE,255,5,255,4,3,5,4.375,1.4,3,1
7,R_D7cRDUeXH04Ue65,-1,3.5,5.625,R_2WVAjq5cg8I3NRT,190,5,190,3,4,2,3.75,3.2,1,1
7,R_D7cRDUeXH04Ue65,-1,3.5,5.625,R_1ClMiBD2apq7IqF,120,5,120,4,1,5,4.875,2.4,5,0
7,R_D7cRDUeXH04Ue65,-1,3.5,5.625,R_PRr9hIkWSoAGjvP,150,3,75,3,4,4,4.125,3,2,1
